№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
415,Kuka_bar_01,"улица Кенесары, 65, Астана",+77760586201,4.4,90,64,Не указано,"VIP-зал, Танцпол, Настольные игры, До 50 мест, Wi-Fi для клиентов",https://2gis.kz/astana/firm/70000001103960854,cafe_0415.html
416,SF,"улица Жанибека Тархана, 6Б, Астана",+77777888888,4.6,14116,598,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001033384570,cafe_0416.html
417,Delish,"улица Туркестан, 28а, Астана",+77077191917,4.8,3788,697,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001051323152,cafe_0417.html
418,Донер на Абая,"улица Акмешит, 13/2, Астана",+77755403734,4.9,4348,213,Не указано,Доставка,https://2gis.kz/astana/firm/70000001094405624,cafe_0418.html
419,Wall Street Restaurant,"Кабанбай батыр проспект, 60/20, Астана",+77019690004,4.8,770,288,25000 тнг,Чек 25000 тнг,https://2gis.kz/astana/firm/70000001028292308,cafe_0419.html
420,Meat point,"проспект Улы Дала, 45, Астана",+77784221100,4.5,1712,395,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001027751110,cafe_0420.html
421,Bauyrdaq,"улица Шокана Уалиханова, 19, Астана",+77079330037,4.8,2870,388,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001080449444,cafe_0421.html
422,Креветка,"улица Кенесары, 37, Астана",+77000661515,4.5,421,125,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001068915632,cafe_0422.html
423,Шишка Premium,"улица Сыганак, 42, Астана",+77017072020,4.7,122,22,12000 тнг,Чек 12000 тнг,https://2gis.kz/astana/firm/70000001100626781,cafe_0423.html
424,Okadzaki.kz,"улица Сыганак, 15, Астана",+77773333333,4.6,2610,156,Не указано,"Суши, Пицца, Бургеры, Доставка wok, Десерты",https://2gis.kz/astana/firm/70000001057548497,cafe_0424.html
425,Sharbak,"проспект Богенбай батыра, 42, Астана",+77089178728,4.6,691,139,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001080368396,cafe_0425.html
426,Coffee BOOM,"Кабанбай батыр проспект, 5Б, Астана",+77018883675,4.7,1952,211,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001044891056,cafe_0426.html
427,Kuka_bar_01,"улица Кенесары, 65, Астана",+77760586201,4.4,90,64,Не указано,"VIP-зал, Танцпол, Настольные игры, До 50 мест, Wi-Fi для клиентов",https://2gis.kz/astana/firm/70000001103960854,cafe_0427.html
428,SF,"улица Жанибека Тархана, 6Б, Астана",+77777888888,4.6,14116,598,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001033384570,cafe_0428.html
429,Delish,"улица Туркестан, 28а, Астана",+77077191917,4.8,3788,697,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001051323152,cafe_0429.html
430,Донер на Абая,"улица Акмешит, 13/2, Астана",+77755403734,4.9,4348,213,Не указано,Доставка,https://2gis.kz/astana/firm/70000001094405624,cafe_0430.html
431,Wall Street Restaurant,"Кабанбай батыр проспект, 60/20, Астана",+77019690004,4.8,770,288,25000 тнг,Чек 25000 тнг,https://2gis.kz/astana/firm/70000001028292308,cafe_0431.html
432,Meat point,"проспект Улы Дала, 45, Астана",+77784221100,4.5,1712,395,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001027751110,cafe_0432.html
433,Bauyrdaq,"улица Шокана Уалиханова, 19, Астана",+77079330037,4.8,2870,388,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001080449444,cafe_0433.html
434,Креветка,"улица Кенесары, 37, Астана",+77000661515,4.5,421,125,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001068915632,cafe_0434.html
435,Тагам,"проспект Абая, 32, Астана",+77715012890,4.5,1984,337,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001019125339,cafe_0435.html
436,Meat&Beer,"проспект Мангилик Ел, 54, Астана",+77753387777,4.8,1967,370,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001037966780,cafe_0436.html
437,Гол+Пас,"улица Айтеке би, 11п, Астана",+77026238324,4.8,356,77,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001063936513,cafe_0437.html
438,Момона,"проспект Бауыржан Момышулы, 2Б, Астана",+77472858666,4.7,605,309,4500 тнг,"Лучшее кафе 2023, Лучшее кафе 2022, Чек 4500 тнг",https://2gis.kz/astana/firm/70000001021114993,cafe_0438.html
439,Okadzaki.kz,"проспект Абая, 59, Астана",+77773333333,4.6,3236,311,Не указано,"Суши, Пицца, Бургеры, Доставка wok, Завтраки",https://2gis.kz/astana/firm/70000001041803543,cafe_0439.html
440,Мико,"улица Чингиз Айтматов, 36, Астана",+77014427777,4.4,2506,405,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001084180376,cafe_0440.html
441,Угли,"проспект Республики, 23/1, Астана",+77088880010,4.8,1785,223,7000 тнг,"Лучший ресторан 2022, Чек 7000 тнг",https://2gis.kz/astana/firm/70000001053117895,cafe_0441.html
442,I’M,"улица Алексея Петрова, 24г, Астана",+77470503292,4.6,3205,329,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001057146214,cafe_0442.html
443,Nesibe,"проспект Улы Дала, 41в, Астана",+77084811626,4.9,149,95,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001109879464,cafe_0443.html
444,Тагам,"проспект Туран, 46/1, Астана",+77711361483,4.5,1506,186,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001066374554,cafe_0444.html
445,Bao Sushi&Noodles Bar,"Кабанбай батыр проспект, 62, Астана",+77021034787,4.7,2309,554,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001064085454,cafe_0445.html
446,Кекс,"улица Е 900, 2, Астана",+77027208015,4.7,686,332,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001066154559,cafe_0446.html
447,Nana,"ЖК Хайвил Астана, блок А, улица Ахмет Байтурсынулы, 1, Астана",+77765998855,4.9,86,122,Не указано,Кафе,https://2gis.kz/astana/firm/70000001103752149,cafe_0447.html
448,Pinta,"улица Мухтара Ауэзова, 8, Астана",+77015505144,4.6,1374,92,5000 тнг,"Премия 2ГИС 2017, Чек 5000 тнг",https://2gis.kz/astana/firm/70000001023161689,cafe_0448.html
449,I’M,"проспект Сарыарка, 9д, Астана",+77470503292,4.6,3551,320,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001046691636,cafe_0449.html
450,Del Papa,"Кабанбай батыр проспект, 62, Астана",+77717420996,4.6,537,210,9000 тнг,Чек 9000 тнг,https://2gis.kz/astana/firm/70000001089471005,cafe_0450.html
451,The Банка Bar,"улица Сыганак, 54а, Астана",+77071416464,4.6,1719,227,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001063044508,cafe_0451.html
452,Dos-Tandyr,"проспект Абая, 36Б, Астана",+77026971214,4.7,391,56,800 тнг,Чек 800 тнг,https://2gis.kz/astana/firm/70000001069501841,cafe_0452.html
453,Okadzaki.kz,"проспект Мангилик Ел, 21, Астана",+77773333333,4.7,3110,242,Не указано,"Суши, Пицца, Бургеры, Доставка wok, Десерты",https://2gis.kz/astana/firm/70000001060665571,cafe_0453.html
454,Ariya,"улица Кайым Мухамедханов, 5, Астана",+77066097727,4.7,237,122,Не указано,Кафе,https://2gis.kz/astana/firm/70000001080519465,cafe_0454.html
455,Креветка,"улица Сыганак, 54/2, Астана",+77020661414,4.4,503,77,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001018109767,cafe_0455.html
456,Marani,"улица Сарайшык, 6, Астана",+77788008688,4.8,713,344,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001075431026,cafe_0456.html
457,Zina,"улица Акыртас, 1/1, Астана",+77003470000,3.8,1114,226,15000 тнг,"Лучший ресторан 2022, Чек 15000 тнг",https://2gis.kz/astana/firm/70000001035286082,cafe_0457.html
458,Кавказская пленница,"Таха Хусейна улица, 11, Астана",+77753041444,4.1,1510,418,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001018097054,cafe_0458.html
459,Маринад на чубарах,"улица Космонавтов, 54в, Астана",+77025553240,4.8,308,85,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001101221488,cafe_0459.html
460,Sushiman,"улица Шыганак, 1, Астана",+77077788300,4.9,1593,404,Не указано,"Японская кухня, Заказ столиков, До 40 мест, Суши, Пицца",https://2gis.kz/astana/firm/70000001097299839,cafe_0460.html
461,Delish,"проспект Ракымжан Кошкарбаев, 8, Астана",+77075591675,4.8,1108,293,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001088138400,cafe_0461.html
462,Turandot,"проспект Сарыарка, 40, Астана",+77172444253,4.7,1496,192,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001018123536,cafe_0462.html
463,Демалыс,"проспект Туран, 4, Астана",+77753348842,4.8,1346,252,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001025100707,cafe_0463.html
464,Timeless,"улица Сарайшык, 6, Астана",+77000440101,4.7,726,171,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001079117017,cafe_0464.html
465,Cafellini,"улица Сарайшык, 34/6, Астана",+77479091100,4.4,492,213,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001089486065,cafe_0465.html
466,Второй,"улица Динмухамед Конаев, 14, Астана",+77068140202,4.8,247,144,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001101370539,cafe_0466.html
467,Стумари,"Жанибек хандар улица, 18, Астана",+77088383215,4.9,2341,662,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001079642132,cafe_0467.html
468,Mona,"улица Кайым Мухамедханов, 1/1, Астана",+77760990009,4.8,226,144,14000 тнг,Чек 14000 тнг,https://2gis.kz/astana/firm/70000001077238649,cafe_0468.html
469,Boom Boom Room,"проспект Мангилик Ел, 37, Астана",+77080581111,4.9,4723,575,6000 тнг,"Лучшее кафе 2023, Чек 6000 тнг",https://2gis.kz/astana/firm/70000001022914376,cafe_0469.html
470,Uno,"улица Кенесары, 13, Астана",+77028706761,4.6,837,295,13000 тнг,Чек 13000 тнг,https://2gis.kz/astana/firm/70000001037011606,cafe_0470.html
471,Рыба Моей Мечты,"улица Каныш Сатпаев, 22, Астана",+77000001616,4.8,2429,241,Не указано,Кафе,https://2gis.kz/astana/firm/70000001031315377,cafe_0471.html
472,Урумчи хого,"улица Динмухамед Конаев, 29, Астана",+77077777320,4.4,1054,223,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001061605659,cafe_0472.html
473,Rubai,"проспект Туран, 29, Астана",+77010722222,4.6,445,132,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001079128844,cafe_0473.html
474,Донер на Абая,"улица Сарайшык, 5, Астана",+77085044189,4.8,1159,225,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001098893854,cafe_0474.html
475,Okadzaki.kz,"улица Темирказык, 65, Астана",+77773333333,4.9,5609,93,Не указано,"Премия 2ГИС 2018, Суши, Пицца, Бургеры, Доставка wok",https://2gis.kz/astana/firm/70000001026025203,cafe_0475.html
476,Шашлыкоff,"Амангельды Иманова улица, 52, Астана",+77071655050,4.6,5374,434,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001046104600,cafe_0476.html
477,Грузин Кузин,"улица Шарль де Голль, 1а, Астана",+77020077896,4.7,1989,445,6500 тнг,Чек 6500 тнг,https://2gis.kz/astana/firm/70000001064293858,cafe_0477.html
478,Panda Lamian,"улица Алексея Петрова, 15, Астана",+77088888048,4.7,4310,597,Не указано,"Пицца, Бургеры, Китайская кухня, Доставка wok, Бизнес-ланч",https://2gis.kz/astana/firm/70000001077065918,cafe_0478.html
479,Okadzaki.kz,"улица Шамши Калдаяков, 23, Астана",+77773333333,4.7,1784,177,Не указано,"Пицца, Доставка wok, Десерты, Вторые блюда, Салаты",https://2gis.kz/astana/firm/70000001081293668,cafe_0479.html
480,Aula,"улица Сарайшык, 8, Астана",+77079085500,4.8,532,184,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001098702120,cafe_0480.html
481,Pinta,"улица Достык, 18, Астана",+77784459895,4.5,1183,83,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001047862223,cafe_0481.html
482,Jent,"Жанибек хандар улица, 22, Астана",+77022727769,4.9,1130,395,7000 тнг,"Лучший ресторан 2023, Чек 7000 тнг",https://2gis.kz/astana/firm/70000001081872847,cafe_0482.html
483,Мико,"Амангельды Иманова улица, 26, Астана",+77014427777,4.6,926,158,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001097306504,cafe_0483.html
